0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:35 +0800] "GET /Book2/adduser.jsp HTTP/1.1" 200 6679
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:39 +0800] "GET /Book2/UserServlet?action=showPasgeUser HTTP/1.1" 200 11801
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:40 +0800] "GET //Book2/UserServlet?action=showOne&id=137&pageNew=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:40 +0800] "GET /Book2/changeUser.jsp HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:41 +0800] "POST /Book2/UserServlet?action=updateUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:41 +0800] "GET /Book2/UserServlet?action=showPasgeUser HTTP/1.1" 200 11861
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:45 +0800] "GET /Book2/showAdmin.jsp HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:45 +0800] "POST /Book2/AdminServlet HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:45 +0800] "GET /img HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:45 +0800] "GET /img/ HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:46 +0800] "GET /Book2/changeMm.jsp HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:25:53 +0800] "POST /Book2/AdminServlet HTTP/1.1" 500 1373
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:30:05 +0800] "POST /Book2/AdminServlet HTTP/1.1" 500 1373
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:30:09 +0800] "POST /Book2/AdminServlet HTTP/1.1" 500 1373
0:0:0:0:0:0:0:1 - - [02/Jan/2019:08:31:42 +0800] "GET /Book2/changeMm.jsp HTTP/1.1" 200 5978
